Discharge_ID,Formula_dcg,Gravimetric_Capacity_(mAh/g),Average_Voltage_(V),Number_of_Elements_dcg,a_dcg,alpha_dcg,Spacegroup_cg,sum_NpUnfilled_dcg,sum_GSbandgap_dcg,sum_SpaceGroupNumber_dcg,avg_MeltingT_dcg,avg_Row_dcg,avg_NsUnfilled_dcg,avg_GSvolume_pa_dcg,dev_Column_dcg,dev_Row_dcg,dev_CovalentRadius_dcg,dev_Electronegativity_dcg,dev_NpValence_dcg,dev_NsUnfilled_dcg,dev_NpUnfilled_dcg,dev_GSbandgap_dcg,max_MeltingT_dcg,max_NdValence_dcg,max_NpUnfilled_dcg,max_NUnfilled_dcg,Predicted_Fermi_Energy_dcg,Predicted_Band_Gap_dcg,Predicted_Formation_Energy_Per_Atom_dcg,Predicted_Final_Energy_Per_Atom_dcg
554790,NaCoPO4,116.117294172094,4.73314538155173,4,11.147874,87.187197,14,11,1.625,473,382.195714285714,2.57142857142857,0.142857142857143,14.0683673469286,4.40816326530612,0.653061224489796,32.8163265306122,0.868571428571429,1.55102040816327,0.244897959183673,0.897959183673469,0.397959183673469,1768,7,3,3,2.18180108070374,3.39619112014771,-2.6524293422699,-6.16755199432373
556404,Na(Mo3Se4)2,249.446803639404,3.86497267467672,3,6.83619,89.776958,14,16,6.392,1715,1446.59133333333,4.33333333333333,0.466666666666667,22.0495555555533,5.33333333333333,0.533333333333333,17.7777777777778,0.2816,1.99111111111111,0.497777777777778,0.995555555555556,0.397724444444444,2896,10,2,6,1.19065058231354,2.32526302337647,-2.50599050521851,-6.6398983001709
556822,Na2CuP2O7,94.5482368092227,4.17460468155173,3,5.420937,90,14,3,5.91,503,542.874,2.6,0.2,14.27516666666,6.72,0.72,49.2,1.296,2.4,0.32,0.48,0.9456,2183,3,1,7,1.67551529407501,0.513010025024414,-2.40091061592102,-6.72954368591309
557171,NaVF3,63.0010290980438,4.83623003155174,4,8.784581,60.367285,9,33,4.875,1295,354.1055,2.5,0.25,14.354035714275,4.8,0.6,34.14,0.8904,1.425,0.375,0.825,0.414375,2180,5,3,6,1.5129154920578,0.407520651817322,-2.47234344482422,-6.3799467086792
557315,Na3Cr2(PO4)3,172.467793223708,3.23010320488506,3,6.580023,97.252339,159,20,0,1952,698.645,2.72222222222222,0.166666666666667,13.5461111111056,6.17283950617284,0.802469135802469,45.3703703703704,1.02345679012346,1.97530864197531,0.277777777777778,0.987654320987654,0,2183,3,2,7,1.92611622810364,0.772142291069031,-2.41657567024231,-6.6061577796936
557578,Na3V5O10,53.1109247030441,2.78420511655174,3,5.200352,88.10292,63,20,0,1952,698.645,2.72222222222222,0.166666666666667,13.5461111111056,6.17283950617284,0.802469135802469,45.3703703703704,1.02345679012346,1.97530864197531,0.277777777777778,0.987654320987654,0,2183,3,2,7,3.97032141685486,0.524003863334656,-2.49111366271973,-7.78167963027954
557638,Na3V5O10,51.9626817485851,3.87763097155173,4,7.441188,119.572697,2,14,0,771,719.947,2.8,0.2,12.72083333333,5.04,1.12,41.16,0.7602,1.68,0.32,0.84,0,3695,4,2,7,1.52955806255341,2.1723039150238,-2.46671152114868,-6.24279403686523
558048,NaNbWO7,85.0280109192269,3.15678902655172,5,5.587347,90,15,24,35.816,1711,191.657894736842,2.10526315789474,0.315789473684211,12.5293685722895,6.58171745152355,0.57617728531856,31.1024930747922,0.752908587257618,1.86149584487535,0.43213296398892,0.930747922437673,2.57954570637119,1519,5,2,5,0.84959864616394,4.30879545211792,-2.45256996154785,-6.96990203857422
558049,Na2V3P2O13,57.1772539414501,3.6954864315517,3,5.211117,119.82877,33,12,0,1426,778.305833333333,2.91666666666667,0.0833333333333333,11.2894444444417,3.75,0.916666666666667,32.5,0.846666666666667,2,0.152777777777778,1,0,1728,8,2,2,2.48507833480835,2.03378558158875,-2.23539972305298,-6.39725542068481
558822,Na2MnH4(SO5)2,53.7719541469424,3.75124672155173,4,6.487828,90.000526,15,13,1.625,520,393.14625,2.5,0.125,13.7935714285625,4.8125,0.625,35.625,0.8703125,1.4375,0.21875,0.8125,0.35546875,2183,3,3,7,1.61667776107788,1.79001581668854,-2.52620005607605,-6.60549402236939
559036,NaNi5O6,51.9626817485851,3.91118607405173,2,5.273257,60,14,0,0,881,1142.9025,3.75,0.75,25.596249999975,2.25,1.125,5.625,0.36375,0,0.375,0,0,3459,5,0,5,2.7242374420166,3.82205677032471,-2.47689175605774,-6.17698240280151
559281,NaVPO5,123.573138340323,3.17604966738506,4,6.585608,76.844729,14,20,1.546,984,625.367,2.5,0.2,13.59433333333,3.84,0.6,31.56,0.8844,1.44,0.32,0.8,0.24736,2180,5,4,6,1.37120115756989,2.31352853775024,-2.47874927520752,-7.36035299301148
559354,Na3Re,163.529012825059,4.18221344905173,3,5.543154,33.916006,99,4,0,482,844.1175,3,0.5,15.785833333325,6.25,1,47,0.9475,2,0.5,1,0,2896,5,2,6,2.11386108398438,1.51729774475098,-0.991638004779816,-5.78087186813355
560242,NaCr(SiO3)2,198.642754769572,3.78774399905172,3,5.555002,31.759895,62,4,0,478,459.56,2.75,0.5,14.630833333325,5,0.75,41.5,1.0125,2,0.5,1,0,1357.77,10,2,2,1.32077074050903,1.81416809558868,-2.78859233856201,-4.87445545196533
560368,NaMoO2,109.421825109721,4.01683896488505,3,3.4563,62.265099,2,4,0,478,459.56,2.75,0.5,14.630833333325,5,0.75,41.5,1.0125,2,0.5,1,0,1357.77,10,2,2,1.01028513908386,2.70561599731445,-2.95224237442017,-6.01895904541016
560506,NaCuO2,109.483132895332,1.62005267905171,4,6.40972,80.641738,14,35,4.875,973,392.9085,2.5,0.05,13.269452380945,4.02,0.65,32.825,0.7774,1.235,0.095,0.7,0.414375,1941,2,3,8,2.42135620117188,0.380788207054138,-2.09303903579712,-5.63125705718994
560778,NaCuO2,162.974500342258,3.23965673377394,3,10.377083,90,13,8,0,711,518.295714285714,2.71428571428571,0.142857142857143,12.3769293924429,5.38775510204082,0.816326530612245,40.1632653061225,1.0269387755102,1.95918367346939,0.244897959183673,0.979591836734694,0,1519,5,2,5,4.55953216552734,0.406755089759827,-2.87250423431397,-6.73044919967651
560780,NaTi3P3O13,169.64967270634,5.32045467530172,4,10.42751,88.285916,33,44,6.5,1574,334.292692307692,2.5,0.115384615384615,13.6877289377192,4.01183431952663,0.615384615384615,31.3372781065089,0.821775147928994,1.3491124260355,0.20414201183432,0.781065088757396,0.423076923076923,1811,6,3,4,1.80735695362091,0.936667799949646,-2.41102838516235,-6.80579853057861
562436,NaMn2O4,151.511253690188,4.28536103780172,4,8.104167,68.156962,14,20,3.25,546,324.733636363636,2.45454545454545,0.0909090909090909,13.7389826839727,3.80165289256198,0.578512396694215,31.1239669421488,0.789090909090909,1.15702479338843,0.165289256198347,0.661157024793388,0.483471074380165,2183,3,3,7,2.09787893295288,3.63993358612061,-2.30477118492126,-6.4620885848999
